payment_term_id,Old Payment Terms Name,Proposed Payment Terms,days
51,0.5% Interest Per Month,Disable,0
124,"10 days 3 % cash discount, 30 days Due net",Disable,0
65,10 days after invoicing,100% on 10 day(s) After Delivery,10
128,10 days PDC,10 day(s) PDC After Delivery,10
31,10% Advance 90% Before Dispatch,"10% advance against Proforma Invoice, 90% Before Dispatch",0
109,100 %Payment in advance before dispatch,100% Advance Before Dispatch,0
86,100% advance,100% Advance Against Proforma Invoice,0
60,100% Advance Against Letter of Credit,100% Advance Against Letter of Credit,0
100,100% advance against MATERIAL READINESS,100% Advance Against Material Readiness,0
2,100% advance against proforma invoice,100% Advance Against Proforma Invoice,0
25,100% Advance Along With PI,100% Advance Against Proforma Invoice,0
26,100% Advance Along With PO,100% Advance Against Proforma Invoice,0
101,100% advance before delivery,100% Advance Against Material Readiness,0
97,100% After Delivery,100% Advance Against Delivery,0
123,100% after inspection and testing of the entire lot at your site,Disable,0
4,100% against delivery,100% Advance Against Delivery,0
3,100% against delivery and acceptance,100% Advance Against Delivery,0
59,100% Against Letter of Credit,100% Advance Against Letter of Credit,0
96,100% Against PI at the time of delivery,100% Advance Against Delivery,0
74,100% Before dispatch,100% Advance Against Material Readiness,0
23,120 days from date of order,Disable,0
132,120 Days from the date of Invoice,100% on 120 day(s) After Delivery,120
121,14 Days Net,100% on 14 day(s) After Delivery,14
12,15 days after delivery,100% on 15 day(s) After Delivery,15
27,15 days credit,100% on 15 day(s) After Delivery,15
69,15 DAYS NEFT,100% on 15 day(s) After Delivery,15
113,15 Days of Receipt from Purchase Order,100% Advance After 15 day(s) from Purchase Order,15
30,15 Days PDC,15 day(s) PDC After Delivery,15
104,15% Advance against PI,"15% Advance Against Proforma Invoice, 90% After Delivery",0
83,15% on advance 75% on material ready status and 10% on delivery,15% Advance Against Proforma Invoice and 75% on Material Readiness and 10% After Delivery,0
73,20 Days after delivery,100% on 20 day(s) After Delivery,20
62,"20% Advance along with order, balance 80% against Proforma invoice before dispatch",Disable,0
43,20% Advance and 80% before dispatch,20% Advance Against Proforma Invoice and 80% on Material Readiness,0
61,20% Advance and balance against proforma invoice,20% Advance Against Proforma Invoice and 80% After Delivery,0
50,20% Against Proforma Invoice and 80% Against Delivery,20% Advance Against Proforma Invoice and 80% After Delivery,0
32,20% Along with PO and 80% against proforma invoice,20% Advance Against Proforma Invoice and 80% After Delivery,0
13,21 days after delivery,100% on 21 day(s) After Delivery,21
126,21 days PDC,21 day(s) PDC After Delivery,21
120,21 Working Days from the Date of Submission of Invoice,100% on 21 day(s) After Delivery ,21
24,25 Days Credit,100% on 25 day(s) After Delivery,25
6,25% advance 75% on delivery,25% Advance Against Proforma Invoice and 75% After Delivery,0
127,25% advance against PO 65% before dlvy(Acceptance Testing at Qualitas)10% against Instl & COMSN,Disable,0
130,25% Advance Against Proforma Invoice and 75% on 7 day(s) After Delivery,25% Advance Against Proforma Invoice and 75% on 7 day(s) After Delivery,7
122,25% Advance and 75% before Delivery,25% Advance Against Proforma Invoice and 75% on Material Readiness,0
103,25% Against P.O. & 75% Against Proforma Invoice Prior to Dispatch,25% Advance Against Proforma Invoice and 75% on Material Readiness,0
14,30 days after delivery,100% on 30 day(s) After Delivery,30
134,30 Days after Invoice,100% on 30 day(s) After Delivery,30
28,30 Days Credit,100% on 30 day(s) After Delivery,30
20,30 Days PDC,30 day(s) PDC After Delivery,30
39,30 Days PDC against PI,30 day(s) PDC After Delivery,30
49,30 days post delivery,100% on 30 day(s) After Delivery,30
79,30% Aadvance & Bal Within 15 Days After Receipt Of Material,30% Advance Against Proforma Invoice and 70% on 15 day(s) After Delivery,15
67,30% advance & 70% against delivery,30% Advance Against Proforma Invoice and 70% After Delivery,0
7,30% advance 70% on delivery,30% Advance Against Proforma Invoice and 70% After Delivery,0
40,30% advance 70% on dispatch,30% Advance Against Proforma Invoice and 70% on Material Readiness,0
58,30% ADVANCE AGAINST PI & 70% BEFORE DISPATCH,30% Advance Against Proforma Invoice and 70% on Material Readiness,0
64,30% advance against PI and 70% within 7 days of Delivery,30% Advance Against Proforma Invoice and 70% on 7 day(s) After Delivery,7
77,"30% advance along with PO, balance against. Proforma Invoice before dispatch",30% Advance Against Proforma Invoice and 70% on Material Readiness,0
45,30% Advance along with PO. 60% Against proforma prior to despatch with full tax. 10% PDC 30days at t,Disable,0
89,30% Advance rest against PI,30% Advance Against Proforma Invoice and 70% on Material Readiness,0
35,30% against PI & 70% prior to dispatch,30% Advance Against Proforma Invoice and 70% on Material Readiness,0
87,"30% upon order and balance, 70% upon good readiness prior to delivery",30% Advance Against Proforma Invoice and 70% on Material Readiness,0
110,40 Days Credit,100% on 40 day(s) After Delivery,40
8,40% advance 60% on delivery,40% Advance Against Proforma Invoice and 60% After Delivery,0
66,40% advance and 40% before dispatch and 20% after Insurance and Commissioning,Disable,0
34,40% advance and 60% before dispatch,40% Advance Against Proforma Invoice and 60% on Material Readiness,0
75,40% Advance and Balance against PI before Delivery,40% Advance Against Proforma Invoice and 60% on Material Readiness,0
70,40% advance with order & balance at the time of delivery,40% Advance Against Proforma Invoice and 60% on Material Readiness,0
102,"40% Advanced,Balance Against Proforma Invoice",40% Advance Against Proforma Invoice and 60% on Material Readiness,0
15,45 days after delivery,100% on 45 day(s) After Delivery,45
133,45 Days after Invoice,100% on 45 day(s) After Delivery,45
91,45 days credit from the receipt of full lot of 175MT at Kalamboli,Disable,0
33,45 Days PDC,45 day(s) PDC After Delivery,45
90,"50 % Advance along with Confirm Purchase Order, balance against Performa Invoice before dispatch",50% Advance Against Proforma Invoice and 50% on Material Readiness,0
38,50 % Advance along with purchase order and 50 % against Proforma Invoice prior to dispatch,50% Advance Against Proforma Invoice and 50% on Material Readiness,0
82,"50 % Advanced Along with Purchase Order , 50% After dispatch within 10 Days",50% Advance Against Proforma Invoice and 50% on 10 day(s) After Delivery,10
94,50% Advance,50% Advance Against Proforma Invoice and 50% After Delivery,0
48,50% advance & 15 days 50% PDC,BT,0
105,50% advance & 50% one week,50% Advance Against Proforma Invoice and 50% on 7 day(s) After Delivery,7
29,50% Advance 50 % Before Delivery,50% Advance Against Proforma Invoice and 50% on Material Readiness,0
9,50% advance 50% on delivery,50% Advance Against Proforma Invoice and 50% on Material Readiness,0
54,50% Advance against ABG and balance against Proforma Invoice before,Disable,0
111,50% ADVANCE ALONG WITH ORDER 40% AGAINST PI AND 10% IMMEDIATE AFTER INSTALLATION,Disable,0
