sku,price,name,technical_description,material_code,customer_material_code,lead_time,brand,hsn,tax_percentage,moq,uom,customer_uom,url
,42,EMERY CLOTH/EMERY PAPER/GLASS PAPER,"Short Description :
EMERY CLOTH/EMERY PAPER/GLASS PAPER,ABRASIVE (ALOXITE) RESIN
Technical Specification :
LENGTH:350MM.
WIDTH : 40 MM.
DESCRIPTION : ABRASIVE (ALOXITE) RESIN PAPER DISC
GRIT NO. : 60
BRAND NAME : GRINDWELL
REFERENCE STD. : NOT APPLICABLE",,0140A0028,28-42 Days,,6805,18.00%,1,EA,EA,
,53.9,D.C. GRINDING WHEEL 125 MM,"Short Description :
D.C. GRINDING WHEEL 125 MM
-
Part No.: 2 608 600 263 LD1
Make : BOSCH",,0079A0121,28-42 Days,,6804,18.00%,1,EA,EA,
,24.7,RCL1&2 - ABRASIVE PAD FOR CLEANING,"Short Description :
RCL1&2 - ABRASIVE PAD FOR CLEANING
===============================
Part No :
7447
Make :
3M
===============================
Additional Specification :
SCOTCH BRITE GENERAL PURPOSE HAND PAD 7447 (MAROON)
SIZE = 6""X9""
REQUIRED FOR ROLL CLEANING",,0079A0228,28-42 Days,,6804,18.00%,1,EA,EA,
,389.06,"""BRG.BALL,SINGLE ROW,DEEP GRO,MET. 6309""","Short Description :
BRG.BALL,SINGLE ROW,DEEP GROOVE,METRIC,-,6309,-
Technical Specification :
THICKNESS:25MM.
O.D. : 100 MM.
I.D. : 45 MM.
PREFIX : -
BRG. NO. : 6309
SUFFIX : -
BRANDS : ALL APPROVED BRANDS
04-PACKING INSTRUCTIONS
PACKING IN MAKERS ORIGINAL SEALED PACKING.",,0008A0098,28-42 Days,,8483,18.00%,1,EA,EA,
,4734.38,"""ROW,DEEP GRO,ME,6319 C3""","Short Description :
BRG.BALL,SINGLE ROW,DEEP GROOVE,METRIC,-,6319,C3,95 MM.,200
MM.,45 MM.
Technical Specification :
THICKNESS:45mm
O.D.:200mm
I.D.:95mm
PREFIX:-
BRG. NO.:6319
SUFFIX:C3
BRANDS:ALL APPROVED BRANDS",,0008C0087,28-42 Days,,8483,18.00%,1,EA,EA,
,3900,"""BRG.ROL,DOUB ROW,SPH,MET.22220CCKW33""","Short Description :
BRG.ROLLER,DOUBLE ROW,SPHERICAL,METRIC,-,22220,CCKW33 OR SKM
Technical Specification :
THICKNESS:46MM.
O.D. : 180 MM.
I.D. : 100 MM.
PREFIX : -
BRG. NO. : 22220
SUFFIX : CCKW33 OR SKMB
BRANDS : ALL APPROVED BRANDS EXCEPT RHP
04-PACKING INSTRUCTIONS
IN MAKERS ORIGINAL SEALED PACKING.
05-CUSTOM CLARIFICATION
FUNCTION & USE: USED IN 24"" MILL APPROACH TABLE ROLLS, AT
S.B.B. MILL NO.2 EQUILIZER RELUT VALVE AT BL. FCDS.
FUNCTION- TO SUPPORT PIN.
08-Additional Specification
ONLY STEEL/BRONZE CAGE BEARING WILLBE ACCEPTABLE.",,0030A0097,28-42 Days,,8483,18.00%,1,EA,EA,
,2985,"BRG.ROL,SINGLE ROW,CYLIND.,MET, NU314","Short Description :
BRG.ROLLER,SINGLE ROW,CYLINDRICAL,METRIC,NU,314,-
Technical Specification :
THICKNESS:35MM.
O.D. : 150 MM.
I.D. : 70 MM.
PREFIX : NU
BRG. NO. : 314
SUFFIX : -
BRANDS : ALL APPROVED BRANDS",,0025A0068,28-42 Days,,8483,18.00%,1,EA,EA,
,707.56,BUSH COUPLING & SPARES,BUSH NO 8 FOR BUSH PIN COUPLING 11,,0082A0027,28-42 Days,,8483,18.00%,1,EA,EA,
,744.8,0YRE TYPE COUPING & SPARES,"Short Description :
TYRE TYPE COUPING & SPARES,TYRE FOR TYRE TYPE COUPLING TC 27
Technical Specification :
COUPLING TYPE:TYRE FOR TYRE TYPE COUPLING TC 270
REFERENCE STD. : TS 01011-TYRE TYPE FLEXIBLE COUPLING
06-DRAWING DETAILS
TISCO STANDARD 01011/1",,0083A0028,28-42 Days,,8414,18.00%,1,EA,EA,
,4111.1,LOVEJOY GEAR COUPLING : LFG-101,"Short Description :
LOVEJOY GEAR COUPLING : LFG-101
Part No. : LFG-101
Make : LOVEJOY

Bolt circle PCD - 140 mm
No.of bolt - 6
Bolt hole dia - 13 mm
Pilot bore dia - 15 mm max.",,0835C0091,28-42 Days,,7325,18.00%,1,EA,EA,
